word,meaning,pos,example,example_zh,note,tags
eligible,有資格的,adj.,Employees are eligible for the bonus after one full year.,員工滿一整年後才有資格領取獎金。,eligible for something。,商務形容詞
prompt,迅速的、準時的,adj.,Thank you for your prompt response to our inquiry.,感謝你迅速回覆我們的詢問。,除了「提示」，形容詞是「迅速的」。,熟詞偏義
tedious,冗長乏味的,adj.,Data entry can be tedious without the right tools.,沒有合適工具，資料輸入會很乏味。,,商務形容詞
subsequent,隨後的、接下來的,adj.,Subsequent meetings will be held every other Friday.,後續會議將每隔一週的週五舉行。,,商務形容詞
preliminary,初步的,adj.,The preliminary results suggest strong customer interest.,初步結果顯示客戶興趣濃厚。,,商務形容詞
substantial,大量的、可觀的,adj.,The merger brought a substantial increase in revenue.,這樁併購帶來可觀的營收成長。,,商務形容詞
inventory,庫存、存貨,n.,We take inventory at the warehouse every quarter.,我們每季在倉庫盤點庫存。,,商務名詞
itinerary,行程表,n.,The travel agent emailed a detailed itinerary this morning.,旅行社今早寄來一份詳細行程表。,,商務名詞
premises,建築物、經營場所,n.,Smoking is not permitted anywhere on the premises.,場所內任何地方都禁止吸菸。,常用複數，指「房舍、營業場所」。,商務名詞
referral,轉介、推薦,n.,Most of our new clients come from referrals.,我們多數新客戶來自轉介推薦。,,商務名詞
warranty,保固,n.,The laptop comes with a two-year warranty.,這台筆電附有兩年保固。,,商務名詞
receipt,收據；收到,n.,Please keep the receipt for your records.,請保留收據以備查核。,upon receipt of＝一收到就…。,商務名詞
vendor,供應商、廠商,n.,We compared quotes from three different vendors.,我們比較了三家不同供應商的報價。,,商務名詞
deadline,截止期限,n.,The deadline for submissions is next Wednesday.,投稿截止期限是下週三。,,商務名詞
maintenance,維護、保養,n.,Routine maintenance is scheduled for every second Sunday.,例行保養安排在每隔一個週日。,,商務名詞
